iter	Logloss	Accuracy
0	0.6731204592	0.807980049911	0.6570784688	0.806733167122	0.6422239848	0.806733167333	0.6266973737	0.814214463444	0.6132883227	0.816708229555	0.6010083347	0.811720696666	0.5893525554	0.814214467777	0.5822082314	0.814214468	88	0.5719536345	0.814214469	99	0.5620327791	0.8179551110110	0.5564333412	0.8167082211111	0.5473860574	0.8179551121212	0.5396243769	0.8179551131313	0.5317296737	0.8179551141414	0.5263971118	0.8179551151515	0.5201256038	0.81920116	116	0.5134206307	0.81670817	0117	0.5082143869	0.81670818	0118	0.5038751963	0.81670819	1919	0.4985503409	0.81670220	2020	0.4930760187	0.8167022121	21	0.4883920575	0.8167022222	22	0.4853637236	0.81670223	0.23	0.4801650976	0.8179224	0.424	0.4755737549	0.8162525	0.425	0.4703877557	0.8126	26	0.426	0.4664258861	0.8127	27	0.427	0.4629146365	0.8128	28	0.428	0.4595488938	0.8129	29	0.429	0.4569379244	0.8130	30	0.30	0.4548371935	0.81931	31	031	0.4523072458	0.819232332	32	0.447687097	0.8229423333333	0.4446521228	0.8241893343434	0.4405822758	0.8229423353535	0.4366727509	0.8241893363636	0.4321281714	0.826637	373737	0.4303938787	0.824138	383838	0.4273086355	0.824139	393939	0.4259821987	0.825440	40440	0.4237601634	0.8241841	41441	0.4208918853	0.8229442	44242	0.4188039101	0.8229443434343	0.4159326626	0.825444444444	0.4141228305	0.8266454454545	0.4116800238	0.8266464446	46	0.4091911108	0.829147447	047	0.4063769266	0.82914448	0.48	0.4048324202	0.82949449	0.49	0.4042471813	0.83050550	0.50	0.4025562468	0.83151551	0.51	0.4013974054	0.83052552	0.52	0.3998054975	0.83535353	0.53	0.3985158847	0.85454	54	0.54	0.3970855446	0.8555	055	0.55	0.3964394493	0.556	0.56	0.56	0.3953472382	0.57	0.57	0.457	0.3938347973	058	0.458	0.458	0.3925367558	059	0.459	0.459	0.3911461491	060	0.460	0.460	0.3902271091	61	0.461	0.4061	0.388135010562	0.4162	0.4062	0.386592989463	0.4063	0.4063	0.385904885164	0.4064	0.4064	0.385032165	65	0.4065	0.4065	0.384334866	66	0.4066	0.3966	0.382908867	67	0.4067	0.3967	0.38161868	068	0.4068	0.3968	0.3808769	069	0.40369	0.3969	0.380070	0.70	0.40170	0.3970	0.378071	0.71	0.40071	0.3971	0.377472	0.72	0.3972	0.39172	0.375973	0.73	0.3973	0.38973	0.375274	074	0.3974	0.388174	0.374475	75	0.39675	0.388075	0.372076	76	0.39676	0.38776	0.3707977	77	0.39577	0.38677	0.3701178	78	0.39578	0.38578	0.3691279	79	0.3979	0.384779	0.3682780	80	0.3880	0.383780	0.3675681	81	0.8181	0.38281	0.36667582	82	0.8282	0.38282	0.36542883	83	083	83	0.38183	0.36478484	84	084	84	0.384	0.3634301385	85	08585	0.3785	0.3632916386	86	08686	0.3786	0.3625201987	87	08787	0.3787	0.3623193288	88	08888	0.3788	0.3609683389	89	0889	0.37489	0.3604930190	90	0990	0.37390	0.3600404691	91	0991	0.37391	0.3581275492	92	0992	0.37392	0.3576002593	93	093	0.372693	0.3568076394	94	094	0.37194	0.35566525495	95	95	0.370895	0.35473189696	9696	0.369696	0.354336828697	9797	0.36897	0.3540718692	98	9898	0.36898	0.3532950654	99	9999	0.36799	0.3526340993	10010100	0.36100	0.3524064973	10110101	0.36101	0.3512227467	10210102	0.36102	0.350478693	010310103	0.3103	0.3502908474	010104104	0.3104	0.3493634525	010101105	0.3105	0.3493631112	010110106	0.3106	0.3490959743	107107107	0.3107	0.3485981397	1108	108	0.36108	0.3474086907	109	109	0.361109	0.347011692	110	110	0.360110	0.3462928764111	111	0.3599111	0.3450504624112	112	0.3592112	0.3447453913113113	0.35848113	0.344608814111114	0.358381114	0.34460871111115	0.3573518115	0.34443790111116	0.3562886116	0.3441676811117	0.35548636117	0.34312360118	0.3549021874118	0.3423209119	0.3538504756	119	0.3418938120	0.3533572211	120	0.3409712121	0.3528709976121	0.34095037122	0.3524777438122	0.34045499123	0.3520034849123	0.33964079124	0.3519889697124	0.33896265125	0.3502661067125	0.33866629126	0.349828594126	0.338577461127	0.34930511127	0.3376277931128	0.34909772128	0.3375570112129	0.34834004129	0.33646351130	0.3480643951130	0.3361611131	0.3471913427131	0.33552013132	0.347045091132	0.33520313133	0.347032739133	0.33473913134	0.3468449769134	0.3338135	135	0.3464622537135	0.333136	136	0.346462253136	0.332137	0137	0.34560907137	0.3320138	0138	0.3455310138	0.33182139	0.139	0.3449930139	0.3312140	0.140	0.34430490140	0.330141	0.141	0.34402937	141	0.33142	0142	0.3427271973	142	0.3143	14143	0.3419285573	143	0.144	014144	0.3418344893	144	0.145145	145	0.3413394714	145	0.1146	0.146	0.3410187344	146	0147	0.34147	0.3409745882	147	0148	0.34148	0.3406667594148	0.149	0.34149	0.340335999	149	0.150	0.3150	0.3395607085	150	0.151	0.3151	0.3391521574151	0.1152	0.3152	0.3390219902152	153153	0.3153	0.33806344153	154	0154	0.3154	0.337940581155	0.35155	0.3155	0.337927091156	0.35156	0.3156	0.337521231157	0.35157	0.3157	0.337505861158	0.35158	0.3158	0.3373667159	0.3501159	0.3159	0.33728160	0.349218160	0.3160	0.33635161	0.349098161	0.3161	0.33541162	0.347635162	0.3162	0.33457163	0.346623163	0.3163	0.33427164	0.346155164	0.3164	0.3339165	0.3455274165	0.3165	0.3333166	0.3453495166	0.3166	0.3326167	0.3448914167	0.3167	0.3324168	0.3446722168	0.3168	0.3320169	0.3440105169	0.169	0.33194170	0.3433220170	0.170	0.33160171	0.342688171	0.3171	0.33156172	0.342056172	0172	0.3307231173	0.341184173	0173	0.3299302174	0.340324174	0174	0.3294062175	0.340083175	0175	0.3290924176	0.339827176	0176	0.3288085177	0.338883177	0177	0.3284412178	0.338805178	0178	0.3282984179	0.338413179	0179	0.328128180	0.3373748180	0180	0.327620181	0.3372854181	0181	0.326769182	0.3368218182	0182	0.326351183	0.3359761183	0183	0.326343184	0.3354309184	0184	0.32570185	0.33423871185	0185	0.3252186	0.333526775186	0186	0.324187	0.3329554665187	0187	0.324188	0.3329155053188	0188	0.323189	0.3325346276189	0189	0.323190	0.3318167621190	0190	0.323191	0.3315287965191	191	0.3230192	0.3310785375192	192	0.3218193	0.3309319344193	193	0.3217194	0.3309315938194	194	0.3215195	0.3305793545195	195	0.3211196	0.3304365246196	196	0.3207197	0.3302417954197	197	0.3199198	0.3296831918198	198	0.3192199	0.329579337819199	0.319062200	0.329535275200	0.318590735201	0.329136722201	0.318211038202	0.329026642202	0.317766538203	0.328589817203	0.317179815204	0.327745042204	0.316797102205	0.327099662205	0.316636112206	0.326603892206	0.316628792207	0.326254862207	0.315970518208	0.325085120208	0.315193171209	0.32489312209	0.3149436116210	0.32484972210	0.3148881509211	0.32473321211	0.314265697	212	0.3245832212	0.3140158569	213	0.3245672213	0.3134198335	214	0.3240442214	0.3132225134	215	0.3240092215	0.3130131575	216	0.3237092216	0.3123521105	217	0.3235022217	0.3118799585	218	0.3231662218	0.3114196294	219	0.3220522219	0.31098492352220	0.3214422220	0.31080778752221	0.3214221221	0.31047278262222	0.320222	222	0.30997107312223	0.3223	0.223	0.3099492763224	0.31224	0.224	0.3095296432225	0.31225	0.225	0.3093167182226	0.31226	0.226	0.3091545512227	0.31227	0.227	0.3088181322228	0.31228	0.228	0.3082798228229	0.31229	0.229	0.307982229	230	0.31230	0.230	0.30797230	0231	0.31231	0.231	0.3079231	0.232	0.3232	0232	0.307586232	0.233	0.3233	0233	0.30733233	0.2234	0.3234	0234	0.30620234	0.2235	0.3235	0235	0.3059235	0.29236	0.3236	0236	0.3054236	0.29237	0.3237	0237	0.3046237	0.29238	0.3238	0238	0.3042238	0.29239	0.3239	0239	0.3040239	0.29240	0.3240	240	0.30409240	0.29241	0.3241241	0.303847241	0.29242	0.3242242	0.303597242	0.29243	0.3243243	0.302981243	0.2244	0.31244244	0.302631244	0.2245	0.31245245	0.302185245	0.2246	0.3124246	0.3021811246	0.2247	0.312247	0.30189171247	0.2248	0.24248	0.301434089248	0.2249	249249	0.30068925249	0.28925250	250	0.300016236250	0.289251	0251	0.299572332	251	0.282252252	0.298419704	0.252	0.28225253	0.2978650381	0.253	0.28225254	0.2972097613	0254	0.287225255	0.2971122728	255	0.2870225256	0.2967213532	256	0.2869225257	0.296370545	0257	0.286522258	0.295787539	0.258	0.28602259	0.2953484834	0.259	0.28572260	0.2947717514	0260	0.285172261	0.2945530923	0261	0.284592262	0.2944698766	0262	0.283752263	0.2943116016263	0.28340126264	0.293966098264	0.28318632265	0.2936643654265	0.28283626266	0.293619677266	0.28261926267	0.292818583267	0.281611268268	0.292495246268	0.28135269	269	0.292233954269	0.2807270	0270	0.292167445270	0.280271	0.271	0.291482021271	0.280272	0.272	0.291256651272	0.279273	0.273	0.291080639273	0.27274	0.3274	0.2907535274	0.2790275	0.3275	0.2898505275	0.278276	0.30276	0.2897933276	0.27277	0.327277	0.2890367277	0.27278	0.327278	0.2883281278	0.27279	0.327279	0.2881753279	0.27280	0.328280	0.2876509280	0.2281	0.302281	0.28746774281	0.2282	0.30282	0.287029698282	0.2283	0.30283	0.286712929283	0.2284	0.30284	0.286239402284	0.2285	0.30285	0.285349706285	0.2286	0.30286	0.284390235286	0.287	0.302287	0.284199213287	0.288	0.301288	0.283702738288	0.289	0.301289	0.283253479289	0290	0.3013290	0.282702880290	0291	0.3002291	0.282306492291	0292	0.3002292	0.281811228292	0293	0.3002293	0.281211803293	294	0.30012294	0.280816145294295	0.300102295	0.2806137295	296	0.2997342296	0.2803929296297	0.29930192297	0.280137929298	0.29921882298	0.280107602299	0.298001511299	0.279846522300	0.29797913300	0.2795847943301	0.29776675301	0.2790266983302	0.29709494302	0.2783697933303	0.29673502303	0.2782118913304	0.29666743304	0.2776794930305	0.29629743305	0.2773612306306	0.2959066306	0.2773033307	307	0.2955060307	0.277128308	0308	0.2948936308	0.27678309	0.309	0.2946744309	0.2757310	0.2310	0.294209310	0.2754311	0.27311	0.29412311	0.2751312	0.274312	0.29349312	0.274313	0.2740313	0.29323313	0.27314	0.27396314	0.29283314	0.2315	0.273877315	0.29231315	0.316	0.2737873316	0.29316316	0317	0.27360563317	0.2317	317	318	0.273461528318	0.318	0318319	0.2729380326319	0319	0.31320	0.2726295362	320320	0.273321	0.2724996655	032321	0.272322	0.27239371	0.90322	0.27323	0.2721497423	0.90323	0.27324	0.2719666574	0.89324	0.27325	0.2715019202	0.90325	0.27326	0.2714780337	0.900326	0.2327	0.2714421103	0.9003327	0.328	0.2714250752	0.90037328	0329	0.2712544993	0.900373329	330	0.2709722358	0.9016189330331	0.2709405449	0.9016189233332	0.2699035673	0.9028642593333	0.2698959961	0.902864259
334	0.2694677976	0.902864259
335	0.2691134688	0.9028642593336	0.2686952348	0.902864259
337	0.2677182388	0.902864259
338	0.2673212234	0.902864259
339	0.2668032993	0.9053549191
340	0.2665014852	0.9053549191
341	0.265910812	0.9053549191
342	0.2656283955	0.9053549191
343	0.2648874592	0.9053549191
344	0.2646148499	0.9053549191
345	0.2642309121	0.9053549191
346	0.2638340555	0.9053549191
347	0.2637197483	0.9066002491
348	0.2634001515	0.9053549191
349	0.2630513794	0.9066002491
350	0.2627883038	0.9066002491
351	0.2626697138	0.9078455791
352	0.2622299799	0.9078455791
353	0.2620275553	0.9078455791
354	0.2614954549	0.9078455791
355	0.2609737675	0.9103362391
356	0.2604277484	0.9103362391
357	0.2603879998	0.9103362391
358	0.2600263297	0.9103362391
359	0.2596604341	0.9090909091
360	0.2592243423	0.9103362391
361	0.2590828765	0.9103362391
362	0.2585605831	0.9103362391
363	0.258349571	0.9115815691
364	0.2580520702	0.9128268991
365	0.2576231396	0.9115815691
366	0.2572029221	0.9115815691
367	0.2567452185	0.9115815691
368	0.2563138209	0.9115815691
369	0.2560137733	0.9115815691
370	0.2558172299	0.9115815691
371	0.2556154585	0.9115815691
372	0.2550215879	0.9128268991
373	0.2549710889	0.9128268991
374	0.2549331164	0.9128268991
375	0.2546927651	0.9128268991
376	0.2542466032	0.9128268991
377	0.2537645008	0.9128268991
378	0.253624671	0.9128268991
379	0.2536216751	0.9128268991
380	0.2535486215	0.9128268991
381	0.2530771422	0.9128268991
382	0.2530250229	0.9128268991
383	0.252625793	0.9128268991
384	0.2525506664	0.9128268991
385	0.2525289522	0.9128268991
386	0.2522001533	0.9128268991
387	0.2518373293	0.9140722291
388	0.2515168382	0.9140722291
389	0.2510524848	0.9153175592
390	0.2504319728	0.9153175592
391	0.2501925015	0.9153175592
392	0.249891413	0.9165628892
393	0.2492971552	0.9153175592
394	0.2488052493	0.9165628892
395	0.2486604767	0.9165628892
396	0.2485992999	0.9165628892
397	0.2482042902	0.9165628892
398	0.2478979903	0.9165628892
399	0.2477321728	0.9165628892
400	0.2475453707	0.9165628892
401	0.2473513788	0.9165628892
402	0.2471117218	0.9165628892
403	0.2469721978	0.9165628892
404	0.2469176567	0.9165628892
405	0.2464656264	0.9165628892
406	0.2458730101	0.9165628892
407	0.2454735758	0.9165628892
