iter	Logloss	Accuracy
0	0.687683398	0.7878787879
1	0.6819502415	0.810325477
2	0.6769596419	0.7901234568
3	0.6717957838	0.7957351291
4	0.6662300795	0.8035914703
5	0.6612873528	0.8069584736
6	0.6558139777	0.8136924804
7	0.6510420218	0.8125701459
8	0.6460273441	0.8114478114
9	0.6412867937	0.8125701459
10	0.6373515333	0.8136924804
11	0.6329172252	0.8080808081
12	0.6281642724	0.8136924804
13	0.624374865	0.8080808081
14	0.6203464167	0.8080808081
15	0.6167659007	0.8080808081
16	0.6126728067	0.8080808081
17	0.6085564894	0.8136924804
18	0.6043706849	0.8080808081
19	0.6005256706	0.8136924804
20	0.5967081022	0.8092031425
21	0.5932364407	0.810325477
22	0.5899259184	0.810325477
23	0.5867179404	0.810325477
24	0.5836000509	0.810325477
25	0.5802499617	0.8092031425
26	0.5770115468	0.810325477
27	0.5736173471	0.8136924804
28	0.5704259017	0.810325477
29	0.5668914352	0.8136924804
30	0.5638632015	0.810325477
31	0.5610509998	0.8114478114
32	0.5578395299	0.8125701459
33	0.5550797607	0.8114478114
34	0.5534528889	0.8136924804
35	0.5509948228	0.8136924804
36	0.5478850646	0.8148148148
37	0.5453558566	0.8148148148
38	0.5429030598	0.8125701459
39	0.5404526067	0.8114478114
40	0.5381355822	0.810325477
41	0.5366472834	0.8114478114
42	0.5346007748	0.8114478114
43	0.5332848906	0.8125701459
44	0.5310609776	0.8136924804
45	0.5286069082	0.8125701459
46	0.5265211825	0.8148148148
47	0.5241474489	0.810325477
48	0.5220340109	0.8125701459
49	0.519776759	0.8125701459
50	0.5176506498	0.810325477
51	0.5165664581	0.8114478114
52	0.5150393566	0.8114478114
53	0.5140022104	0.8092031425
54	0.5121085938	0.8114478114
55	0.510476896	0.8125701459
56	0.5087638172	0.8148148148
57	0.5068306289	0.8114478114
58	0.5051859076	0.8125701459
59	0.5037331285	0.8114478114
60	0.5026176024	0.8114478114
61	0.5008780339	0.8148148148
62	0.4993687142	0.8136924804
63	0.4979962767	0.8125701459
64	0.4965450778	0.8136924804
65	0.4951655268	0.8148148148
66	0.4940555882	0.8148148148
67	0.4926194291	0.8125701459
68	0.4908688414	0.8125701459
69	0.489426302	0.8125701459
70	0.4878905326	0.8114478114
71	0.4865363547	0.8114478114
72	0.4851582316	0.8114478114
73	0.4835607645	0.8114478114
74	0.4825366724	0.8114478114
75	0.4813061465	0.8125701459
76	0.480079203	0.8125701459
77	0.4788633023	0.8114478114
78	0.4771853438	0.8114478114
79	0.475980464	0.8114478114
80	0.4749582801	0.8114478114
81	0.4744106998	0.8114478114
82	0.4735157369	0.8114478114
83	0.4724267097	0.8125701459
84	0.4719305504	0.8114478114
85	0.4708526289	0.8114478114
86	0.4694995296	0.8148148148
87	0.4682756473	0.8159371493
88	0.4676086281	0.8181818182
89	0.4660439227	0.8181818182
90	0.4650742468	0.8181818182
91	0.4641524264	0.8170594837
92	0.4633272444	0.8170594837
93	0.4619963713	0.8193041526
94	0.4609664626	0.8193041526
95	0.4601836957	0.8215488215
96	0.4589578187	0.8215488215
97	0.4576182434	0.8215488215
98	0.4569865456	0.8215488215
99	0.4554044053	0.822671156
100	0.4545837228	0.822671156
101	0.454107789	0.822671156
102	0.4530174439	0.8215488215
103	0.4526915914	0.8215488215
104	0.4523724615	0.8215488215
105	0.4511378582	0.8215488215
106	0.4504107105	0.8204264871
107	0.4495631227	0.8215488215
108	0.4483423957	0.8215488215
109	0.4473275333	0.8215488215
110	0.4459702442	0.8215488215
111	0.4451162077	0.822671156
112	0.4435992527	0.822671156
113	0.4434302749	0.8237934905
114	0.4426865306	0.8260381594
115	0.4415791032	0.8271604938
116	0.4411143997	0.8271604938
117	0.4409166403	0.8282828283
118	0.4403992035	0.8271604938
119	0.4394702649	0.8271604938
120	0.4389024497	0.8282828283
121	0.4384169613	0.8282828283
122	0.4375440442	0.8282828283
123	0.4366967741	0.8282828283
124	0.436038765	0.8282828283
125	0.4352377694	0.8282828283
126	0.4346800614	0.8282828283
127	0.4341481964	0.8282828283
128	0.4335085674	0.8282828283
129	0.4326401707	0.8282828283
130	0.4317251304	0.8271604938
131	0.4316326724	0.8271604938
132	0.4306853618	0.8271604938
133	0.4301644139	0.8271604938
134	0.4293146963	0.8271604938
135	0.4286435581	0.8271604938
136	0.4285158886	0.8271604938
137	0.4280451069	0.8271604938
138	0.4270161583	0.8271604938
139	0.4258735551	0.8271604938
140	0.4254147976	0.8271604938
141	0.4241826031	0.8271604938
142	0.423850832	0.8271604938
143	0.4229964525	0.8271604938
144	0.422608458	0.8271604938
145	0.4217883696	0.8271604938
146	0.4213852366	0.8271604938
147	0.4209449583	0.8271604938
148	0.4204180339	0.8271604938
149	0.4199619375	0.8271604938
150	0.4192658733	0.8271604938
151	0.4185961789	0.8271604938
152	0.4181366099	0.8271604938
153	0.4174958542	0.8282828283
154	0.4169292104	0.8282828283
155	0.4163655674	0.8282828283
156	0.4159490406	0.8282828283
157	0.4152897119	0.8282828283
158	0.41457351	0.8271604938
159	0.4142107841	0.8271604938
160	0.4135050013	0.8282828283
161	0.413127149	0.8282828283
162	0.4128340873	0.8271604938
163	0.4125541891	0.8271604938
164	0.4120662042	0.8271604938
165	0.411949904	0.8271604938
166	0.4117307594	0.8294051627
167	0.4114093469	0.8294051627
168	0.4110865445	0.8294051627
169	0.4103941943	0.8294051627
170	0.4098295496	0.8294051627
171	0.4091150121	0.8294051627
172	0.4086867998	0.8294051627
173	0.4086301021	0.8294051627
174	0.4082674514	0.8305274972
175	0.4079780144	0.8305274972
176	0.4073707446	0.8294051627
177	0.4069935353	0.8294051627
178	0.4063373924	0.8282828283
179	0.4060422714	0.8282828283
180	0.4056128252	0.8294051627
181	0.4051744007	0.8294051627
182	0.4045638432	0.8294051627
183	0.4044625722	0.8294051627
184	0.404138311	0.8294051627
185	0.4040924112	0.8294051627
186	0.4036254377	0.8294051627
187	0.4032329234	0.8294051627
188	0.4032179188	0.8294051627
189	0.4029291517	0.8282828283
190	0.4027493463	0.8282828283
191	0.4023435775	0.8282828283
192	0.4021133585	0.8282828283
193	0.4017634977	0.8271604938
194	0.4011376787	0.8282828283
195	0.4009268967	0.8282828283
196	0.4005540973	0.8282828283
197	0.3998792594	0.8294051627
198	0.3995020876	0.8294051627
199	0.3993522636	0.8294051627
200	0.3985804066	0.8294051627
201	0.3983823657	0.8305274972
202	0.3978785097	0.8305274972
203	0.3974072379	0.8305274972
204	0.3968678677	0.8294051627
205	0.3966219615	0.8294051627
206	0.395792796	0.8294051627
207	0.3957511087	0.8294051627
208	0.39549028	0.8305274972
209	0.3948017188	0.8305274972
210	0.3943842321	0.8305274972
211	0.39419843	0.8305274972
212	0.3940342057	0.8305274972
213	0.3936256731	0.8294051627
214	0.3931986731	0.8305274972
215	0.3930177768	0.8294051627
216	0.392939317	0.8294051627
217	0.392418456	0.8316498316
218	0.3921588529	0.8316498316
219	0.3917350097	0.8316498316
220	0.3914185336	0.8316498316
221	0.3912883744	0.8316498316
222	0.3909344075	0.8316498316
223	0.3908078386	0.8316498316
224	0.3903687819	0.8305274972
225	0.3899854176	0.8316498316
226	0.3897651517	0.8305274972
227	0.3892382689	0.8316498316
228	0.3890727634	0.8316498316
229	0.3884994887	0.8316498316
230	0.388117599	0.8316498316
231	0.3878686963	0.8327721661
232	0.3875213858	0.8327721661
233	0.3873045498	0.8338945006
234	0.3868338355	0.835016835
235	0.3865076116	0.8338945006
236	0.38601293	0.8338945006
237	0.3856585618	0.8338945006
238	0.3854531569	0.8338945006
239	0.3854074663	0.8338945006
240	0.3852138309	0.8361391695
241	0.3849081416	0.835016835
242	0.3847124483	0.8361391695
243	0.3843763626	0.8383838384
244	0.384067744	0.8372615039
245	0.3839800109	0.8372615039
246	0.3837791999	0.8372615039
247	0.3830947233	0.8361391695
248	0.3829523118	0.8372615039
249	0.3826706746	0.8372615039
250	0.3822660618	0.8383838384
251	0.3819816805	0.8383838384
252	0.3817322111	0.8383838384
253	0.3815216283	0.8395061728
254	0.3813540649	0.8395061728
255	0.3813247949	0.8395061728
256	0.3810491771	0.8395061728
257	0.38102634	0.8395061728
258	0.3806178128	0.8406285073
259	0.3801457604	0.8406285073
260	0.379922633	0.8406285073
261	0.3796940623	0.8406285073
262	0.379558479	0.8428731762
263	0.3790765023	0.8428731762
264	0.3789670653	0.8428731762
265	0.3788197785	0.8428731762
266	0.3785483792	0.8439955107
267	0.37853793	0.8439955107
268	0.3784199929	0.8439955107
269	0.3783258695	0.8439955107
270	0.3781009592	0.8439955107
271	0.3776364573	0.8439955107
272	0.3775120673	0.8451178451
273	0.3771362459	0.8439955107
274	0.3770207453	0.8428731762
275	0.376869025	0.8428731762
276	0.3765529746	0.8439955107
277	0.3761703987	0.8451178451
278	0.3759998298	0.8451178451
279	0.3757833975	0.8451178451
280	0.3753868059	0.8451178451
281	0.3751872503	0.8439955107
282	0.3746891061	0.8451178451
283	0.3745042387	0.8451178451
284	0.3741707608	0.8462401796
285	0.3738619809	0.8496071829
286	0.373453532	0.8484848485
287	0.3734142755	0.8484848485
288	0.3733397496	0.8484848485
289	0.3730969238	0.8496071829
290	0.3729037479	0.8496071829
291	0.3726203909	0.8507295174
292	0.372451897	0.8507295174
293	0.3721896626	0.8507295174
294	0.3720672458	0.8529741863
295	0.3718545625	0.8518518519
296	0.3716368364	0.8529741863
297	0.3715123079	0.8529741863
298	0.3708959242	0.8552188552
299	0.3708161016	0.8552188552
300	0.3706895041	0.8552188552
301	0.3705383939	0.8552188552
302	0.3704107465	0.8552188552
303	0.3701274981	0.8540965208
304	0.369849313	0.8540965208
305	0.3698403038	0.8540965208
306	0.3696534956	0.8540965208
307	0.3695000118	0.8540965208
308	0.3692390962	0.8540965208
309	0.3688870969	0.8552188552
310	0.3688612535	0.8552188552
311	0.3688034575	0.8552188552
312	0.368593371	0.8552188552
313	0.3680987815	0.8552188552
314	0.367894872	0.8563411897
315	0.367799511	0.8563411897
316	0.3675947295	0.8563411897
317	0.3674678009	0.8563411897
318	0.3674648318	0.8563411897
319	0.3668509767	0.8574635241
320	0.3665370913	0.8574635241
321	0.3663480022	0.8574635241
322	0.3660071127	0.8574635241
323	0.3660037025	0.8574635241
324	0.3656655469	0.8574635241
325	0.365464872	0.8574635241
326	0.3653789055	0.8574635241
327	0.3649687974	0.8585858586
328	0.3649067601	0.8585858586
329	0.3644774742	0.8574635241
330	0.3643138367	0.8574635241
331	0.3640974814	0.8574635241
332	0.363933811	0.8574635241
333	0.3637849568	0.8574635241
334	0.3637703404	0.8574635241
335	0.3636060142	0.8574635241
336	0.3634935493	0.8574635241
337	0.3633213722	0.8574635241
338	0.363058727	0.8563411897
339	0.3627005993	0.8563411897
340	0.3626742321	0.8563411897
341	0.3625902892	0.8563411897
342	0.3624112645	0.8563411897
343	0.3619747183	0.8585858586
344	0.361749311	0.8585858586
345	0.3616088213	0.859708193
346	0.3614869911	0.859708193
347	0.3613679845	0.859708193
348	0.3608851629	0.859708193
349	0.3606545978	0.859708193
350	0.3604003126	0.859708193
351	0.3602296739	0.859708193
352	0.3602223184	0.859708193
353	0.3600588015	0.859708193
354	0.3597428724	0.859708193
355	0.3595833304	0.8585858586
356	0.3594185044	0.8585858586
357	0.3591090919	0.859708193
358	0.3588625016	0.8585858586
359	0.3587095978	0.8574635241
360	0.3584526324	0.859708193
361	0.3581672272	0.8585858586
362	0.3579873828	0.8585858586
363	0.3576114812	0.859708193
364	0.3573351511	0.859708193
365	0.3572284172	0.859708193
366	0.3571696037	0.859708193
367	0.3571593583	0.859708193
368	0.3569732151	0.859708193
369	0.3567179554	0.859708193
370	0.3563169051	0.859708193
371	0.3562333318	0.8608305275
372	0.3559162952	0.8608305275
373	0.3557702241	0.8608305275
374	0.3555152367	0.861952862
375	0.3555087895	0.861952862
376	0.3554462317	0.861952862
377	0.3554462285	0.861952862
378	0.3551765736	0.861952862
379	0.3547814583	0.861952862
380	0.3544249035	0.8641975309
381	0.3543884814	0.8641975309
382	0.3543748301	0.8641975309
383	0.3541875181	0.8641975309
384	0.3537448683	0.8641975309
385	0.3536832515	0.8630751964
386	0.3535941358	0.8641975309
387	0.3533815	0.8630751964
388	0.3533505644	0.8630751964
389	0.3532181998	0.8641975309
390	0.3531192836	0.8641975309
391	0.3531177893	0.8641975309
392	0.353095575	0.8641975309
393	0.3529632681	0.8641975309
394	0.3526644381	0.8641975309
395	0.3524490568	0.8641975309
396	0.352346973	0.8641975309
397	0.352167172	0.8641975309
398	0.3520499108	0.8641975309
399	0.3517098416	0.8653198653
400	0.3515698685	0.8653198653
401	0.3512798838	0.8653198653
402	0.3511373938	0.8664421998
403	0.350941871	0.8664421998
404	0.3507021116	0.8664421998
405	0.3504842591	0.8664421998
406	0.3504432387	0.8664421998
407	0.3501265429	0.8664421998
408	0.3500083384	0.8675645342
409	0.3499317139	0.8664421998
410	0.3498579244	0.8664421998
411	0.3496593465	0.8664421998
412	0.3492199766	0.8675645342
413	0.3490337132	0.8675645342
414	0.3490313835	0.8675645342
415	0.3487219744	0.8664421998
416	0.3486950107	0.8664421998
417	0.3486922304	0.8664421998
418	0.3485400493	0.8664421998
419	0.3482948461	0.8664421998
420	0.3481844618	0.8664421998
421	0.3479610366	0.8664421998
422	0.3476919458	0.8664421998
423	0.347250798	0.8664421998
424	0.347123421	0.8664421998
425	0.3466773373	0.8664421998
426	0.3464006559	0.8664421998
427	0.3460264516	0.8664421998
428	0.3459510829	0.8664421998
429	0.3457765646	0.8664421998
430	0.3457543475	0.8664421998
431	0.3457381445	0.8664421998
432	0.34564395	0.8664421998
433	0.3456425347	0.8664421998
434	0.3454477089	0.8664421998
435	0.3453775915	0.8664421998
436	0.3452628695	0.8664421998
437	0.344962035	0.8664421998
438	0.3447797312	0.8664421998
439	0.3446327531	0.8664421998
440	0.3446108469	0.8664421998
441	0.3444889871	0.8664421998
442	0.344300785	0.8664421998
443	0.3440308515	0.8675645342
444	0.3437207937	0.8675645342
445	0.3434586796	0.8686868687
446	0.3434437994	0.8675645342
447	0.3430451476	0.8675645342
448	0.3425996269	0.8686868687
449	0.3425028453	0.8686868687
450	0.3421961548	0.8686868687
451	0.3421803956	0.8686868687
452	0.3420087549	0.8675645342
453	0.3420074795	0.8675645342
454	0.3419059985	0.8675645342
455	0.3417028637	0.8675645342
456	0.3414288604	0.8675645342
457	0.3412980842	0.8675645342
458	0.3411618951	0.8675645342
459	0.3410444999	0.8675645342
460	0.3408000684	0.8686868687
461	0.3406241233	0.8675645342
462	0.3404966289	0.8675645342
463	0.340410902	0.8675645342
464	0.3401802586	0.8675645342
465	0.3401612224	0.8675645342
466	0.3401308848	0.8675645342
467	0.3400329287	0.8675645342
468	0.3397295766	0.8675645342
469	0.3393913305	0.8675645342
470	0.339130327	0.8675645342
471	0.3389992957	0.8675645342
472	0.338634343	0.8686868687
473	0.3385503103	0.8686868687
474	0.3385379952	0.8686868687
475	0.3384567138	0.8686868687
476	0.338051251	0.8686868687
477	0.3378339392	0.8686868687
478	0.3377482575	0.8698092031
479	0.3375708869	0.8698092031
480	0.3375628828	0.8698092031
481	0.3375077769	0.8698092031
482	0.3372494568	0.8698092031
483	0.3371203824	0.8698092031
484	0.3369788465	0.8698092031
485	0.3367401953	0.8698092031
486	0.3366238291	0.8709315376
487	0.3366159449	0.8709315376
488	0.3364220737	0.8709315376
489	0.3364114072	0.8709315376
490	0.3360045754	0.8709315376
491	0.3360036371	0.8709315376
492	0.3359999623	0.8709315376
493	0.3359832431	0.8709315376
494	0.3355943634	0.8709315376
495	0.3355695561	0.8709315376
496	0.3354014703	0.8720538721
497	0.3352383982	0.8720538721
498	0.3351237779	0.8709315376
499	0.3349555084	0.8720538721
500	0.3348884086	0.8720538721
501	0.3346770248	0.8720538721
502	0.3344966913	0.8720538721
503	0.3342691594	0.8709315376
504	0.3341473188	0.8709315376
505	0.3339865938	0.8709315376
506	0.3337303244	0.8720538721
507	0.3336675953	0.8720538721
508	0.3333374869	0.8720538721
509	0.3330884722	0.8731762065
510	0.3328778287	0.874298541
511	0.3325728531	0.8731762065
512	0.3322265294	0.8720538721
513	0.3321071123	0.8720538721
514	0.3317639173	0.8720538721
515	0.3312993971	0.8731762065
516	0.3312671069	0.8731762065
517	0.3312657012	0.8731762065
518	0.3312383089	0.8731762065
519	0.3310258776	0.874298541
520	0.3309595138	0.874298541
521	0.3309316627	0.874298541
522	0.3308327429	0.874298541
523	0.3307764939	0.874298541
524	0.3306639924	0.874298541
525	0.3306566471	0.874298541
526	0.3306171882	0.874298541
527	0.3305862479	0.874298541
528	0.3305165306	0.874298541
529	0.3304096666	0.874298541
530	0.3301393339	0.874298541
531	0.3298757194	0.874298541
532	0.3297230884	0.874298541
533	0.3297063299	0.874298541
534	0.3296766635	0.874298541
535	0.3295439476	0.874298541
536	0.3292954221	0.874298541
537	0.3292729213	0.874298541
538	0.3292637796	0.874298541
539	0.3292565052	0.874298541
540	0.329031548	0.874298541
541	0.3288386323	0.8754208754
542	0.3287950176	0.8754208754
543	0.3286055615	0.8754208754
544	0.3285019527	0.8754208754
545	0.3283397694	0.8754208754
546	0.3282527375	0.8754208754
547	0.3280072738	0.8754208754
548	0.327715986	0.8754208754
549	0.3276840792	0.8754208754
550	0.3274645316	0.8754208754
551	0.3274533018	0.8754208754
552	0.3273518836	0.8754208754
553	0.3271552216	0.8754208754
554	0.3269683174	0.8754208754
555	0.3268374294	0.8754208754
556	0.3265905382	0.8754208754
557	0.3264297716	0.8754208754
558	0.3262615849	0.8765432099
559	0.3262292562	0.8765432099
560	0.3259220499	0.8776655443
561	0.3259201993	0.8776655443
562	0.3256257695	0.8787878788
563	0.3254996778	0.8787878788
564	0.3253895198	0.8799102132
565	0.3249808978	0.8810325477
566	0.3247907292	0.8799102132
567	0.3246088678	0.8799102132
568	0.3245076007	0.8787878788
569	0.3244026946	0.8787878788
570	0.3242658413	0.8787878788
571	0.3242136919	0.8799102132
572	0.3240474799	0.8799102132
573	0.3239747487	0.8787878788
574	0.3239597313	0.8787878788
575	0.3238678162	0.8787878788
576	0.3235911252	0.8776655443
577	0.3234600388	0.8787878788
578	0.3230979217	0.8787878788
579	0.3228726647	0.8787878788
580	0.322718433	0.8799102132
581	0.322657511	0.8799102132
582	0.3225761397	0.8799102132
583	0.3224025985	0.8810325477
584	0.3223317614	0.8810325477
585	0.3220724035	0.8821548822
586	0.3219528508	0.8810325477
587	0.3214105741	0.8810325477
588	0.3212629822	0.8810325477
589	0.3211489678	0.8810325477
590	0.3207779102	0.8810325477
591	0.3205670645	0.8810325477
592	0.3204759252	0.8810325477
593	0.3203311925	0.8810325477
594	0.320128341	0.8821548822
595	0.3201152928	0.8821548822
596	0.3199743361	0.8821548822
597	0.3197425685	0.8821548822
598	0.3195488282	0.8821548822
599	0.3193258516	0.8832772166
600	0.3193242444	0.8832772166
601	0.3191268097	0.8821548822
602	0.3189654834	0.8821548822
603	0.3189310587	0.8821548822
604	0.3185501764	0.8821548822
605	0.3184129267	0.8821548822
606	0.3182278663	0.8821548822
607	0.3179879279	0.8821548822
608	0.3178667562	0.8821548822
609	0.3176439005	0.8821548822
610	0.3176375818	0.8821548822
611	0.3175906321	0.8821548822
612	0.3174903838	0.8821548822
613	0.3174686977	0.8821548822
614	0.317462028	0.8821548822
615	0.3173008815	0.8821548822
616	0.3171328886	0.8832772166
617	0.3169737496	0.8821548822
618	0.3168915629	0.8821548822
619	0.3167224125	0.8832772166
620	0.3167075281	0.8832772166
621	0.3165371976	0.8832772166
622	0.3165073102	0.8832772166
623	0.3165012483	0.8832772166
624	0.3164395733	0.8832772166
625	0.315995111	0.8843995511
626	0.3158126975	0.8843995511
627	0.3156980981	0.8832772166
628	0.3153652366	0.8843995511
629	0.3151939841	0.8843995511
630	0.3150491469	0.8843995511
631	0.3148287304	0.8843995511
632	0.314603801	0.8843995511
633	0.3144872356	0.8843995511
634	0.3144242634	0.8843995511
635	0.3142625625	0.8843995511
636	0.3142045396	0.8843995511
637	0.3141278074	0.8843995511
638	0.3140892023	0.8843995511
639	0.3139439583	0.8843995511
640	0.3137518111	0.8843995511
641	0.3136665373	0.8843995511
642	0.3134100906	0.8843995511
643	0.3132427343	0.8843995511
644	0.3131038941	0.8843995511
645	0.3130010401	0.8843995511
646	0.3128203967	0.8843995511
647	0.3127029138	0.8843995511
648	0.3126459285	0.8843995511
649	0.3123720776	0.8843995511
650	0.3120851889	0.8843995511
651	0.3119157678	0.8843995511
652	0.3117745215	0.8855218855
653	0.3117161623	0.8855218855
654	0.3114907664	0.8855218855
655	0.3114463677	0.8855218855
656	0.3111202661	0.88664422
657	0.3111175596	0.88664422
658	0.3111082765	0.88664422
659	0.3109519131	0.8843995511
660	0.3108106572	0.8843995511
661	0.310612657	0.88664422
662	0.3104364495	0.88664422
663	0.3102500141	0.88664422
664	0.3102494966	0.88664422
665	0.3102010519	0.88664422
666	0.3100841636	0.8855218855
667	0.3100249762	0.88664422
668	0.3097673572	0.88664422
669	0.3095269984	0.88664422
670	0.3092938843	0.8855218855
671	0.3091605947	0.88664422
672	0.3089656577	0.88664422
673	0.3089105211	0.88664422
674	0.3084548798	0.8877665544
675	0.3084548213	0.8877665544
676	0.3083740716	0.8877665544
677	0.3082771987	0.8877665544
678	0.3080715405	0.8877665544
679	0.3080658953	0.8877665544
680	0.3079104242	0.8900112233
681	0.3078118289	0.8900112233
682	0.3077386848	0.8900112233
683	0.3076510747	0.8900112233
684	0.307520522	0.8900112233
685	0.3074559097	0.8900112233
686	0.3073141531	0.8900112233
687	0.3072408113	0.8900112233
688	0.3070556707	0.8900112233
689	0.3069745087	0.8900112233
690	0.3067958234	0.8900112233
691	0.3067428398	0.8900112233
692	0.3066862968	0.8900112233
693	0.3066586803	0.8900112233
694	0.3065193733	0.8911335578
695	0.3064278248	0.8911335578
696	0.3062138402	0.8911335578
697	0.3060785221	0.8911335578
698	0.3059639542	0.8911335578
699	0.3059062262	0.8911335578
700	0.3057923404	0.8911335578
701	0.3055846463	0.8911335578
702	0.3055462904	0.8911335578
703	0.3055379795	0.8911335578
704	0.3053292452	0.8911335578
705	0.3052789461	0.8911335578
706	0.3051811824	0.8911335578
707	0.3051747498	0.8911335578
708	0.3051044183	0.8911335578
709	0.3050656359	0.8911335578
710	0.3047095844	0.8911335578
711	0.304706458	0.8911335578
712	0.3046400498	0.8911335578
713	0.3045717088	0.8911335578
714	0.3045700395	0.8911335578
715	0.3044182618	0.8911335578
716	0.3043328718	0.8911335578
717	0.3042297098	0.8911335578
718	0.3041713414	0.8911335578
719	0.3040378904	0.8911335578
720	0.3038879699	0.8911335578
721	0.3038613335	0.8911335578
722	0.303786026	0.8911335578
723	0.3037400283	0.8911335578
724	0.3036719786	0.8911335578
725	0.3034854949	0.8911335578
726	0.3033092263	0.8911335578
727	0.3031583022	0.8911335578
728	0.3029117424	0.8911335578
729	0.3027813017	0.8911335578
730	0.3027182259	0.8911335578
731	0.3026009179	0.8911335578
732	0.3025097657	0.8911335578
733	0.3023242431	0.8911335578
734	0.3021782411	0.8900112233
735	0.3019048467	0.8900112233
736	0.3017078064	0.8900112233
737	0.3014502628	0.8900112233
738	0.3013172278	0.8900112233
739	0.3010798085	0.8900112233
740	0.3009965207	0.8900112233
741	0.3009110902	0.8922558923
742	0.3007425764	0.8922558923
743	0.3006351549	0.8922558923
744	0.3005516593	0.8922558923
745	0.3004761414	0.8922558923
746	0.3004522091	0.8922558923
747	0.3004162873	0.8922558923
748	0.3003663518	0.8922558923
749	0.300272826	0.8922558923
750	0.2999054576	0.8922558923
751	0.2996080227	0.8922558923
752	0.2995327593	0.8922558923
753	0.2993712521	0.8922558923
754	0.2990488336	0.8922558923
755	0.2988555029	0.8922558923
756	0.2986681546	0.8922558923
757	0.2986188003	0.8922558923
758	0.2986171804	0.8922558923
759	0.2985438015	0.8922558923
760	0.2983620839	0.8922558923
761	0.2982916866	0.8922558923
762	0.2981652589	0.8911335578
763	0.2980186271	0.8922558923
764	0.2977282744	0.8922558923
765	0.2974559607	0.8922558923
