iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	233	314	233	342	233	314	342
1	215	261	215	342	215	261	342
2	233	314	233	342	233	314	342
3	220	267	220	342	220	267	342
4	220	267	220	342	220	267	342
5	214	256	214	342	214	256	342
6	214	256	214	342	214	256	342
7	220	267	220	342	220	267	342
8	220	267	220	342	220	267	342
9	220	266	220	342	220	266	342
10	220	266	220	342	220	266	342
11	220	266	220	342	220	266	342
12	220	266	220	342	220	266	342
13	220	266	220	342	220	266	342
14	220	266	220	342	220	266	342
15	225	279	225	342	225	279	342
16	220	266	220	342	220	266	342
17	220	265	220	342	220	265	342
18	220	265	220	342	220	265	342
19	220	265	220	342	220	265	342
20	220	265	220	342	220	265	342
21	217	260	217	342	217	260	342
22	217	260	217	342	217	260	342
23	217	260	217	342	217	260	342
24	217	260	217	342	217	260	342
25	217	260	217	342	217	260	342
26	217	260	217	342	217	260	342
27	217	260	217	342	217	260	342
28	217	260	217	342	217	260	342
29	217	260	217	342	217	260	342
30	214	256	214	342	214	256	342
31	217	260	217	342	217	260	342
32	217	260	217	342	217	260	342
33	217	260	217	342	217	260	342
34	217	260	217	342	217	260	342
35	217	260	217	342	217	260	342
36	217	260	217	342	217	260	342
37	217	260	217	342	217	260	342
38	217	260	217	342	217	260	342
39	217	260	217	342	217	260	342
40	217	260	217	342	217	260	342
41	217	260	217	342	217	260	342
42	217	260	217	342	217	260	342
43	217	260	217	342	217	260	342
44	217	260	217	342	217	260	342
45	217	260	217	342	217	260	342
46	222	273	222	342	222	273	342
47	217	260	217	342	217	260	342
48	217	260	217	342	217	260	342
49	217	260	217	342	217	260	342
50	217	260	217	342	217	260	342
51	217	260	217	342	217	260	342
52	217	260	217	342	217	260	342
53	222	273	222	342	222	273	342
54	217	260	217	342	217	260	342
55	217	260	217	342	217	260	342
56	217	260	217	342	217	260	342
57	217	260	217	342	217	260	342
58	217	260	217	342	217	260	342
59	217	260	217	342	217	260	342
60	217	260	217	342	217	260	342
61	217	260	217	342	217	260	342
62	217	260	217	342	217	260	342
63	217	260	217	342	217	260	342
64	217	260	217	342	217	260	342
65	217	260	217	342	217	260	342
66	217	260	217	342	217	260	342
67	217	260	217	342	217	260	342
68	217	260	217	342	217	260	342
69	217	260	217	342	217	260	342
70	217	260	217	342	217	260	342
71	217	260	217	342	217	260	342
72	217	260	217	342	217	260	342
73	217	260	217	342	217	260	342
74	217	260	217	342	217	260	342
75	217	260	217	342	217	260	342
76	217	260	217	342	217	260	342
77	217	260	217	342	217	260	342
78	217	260	217	342	217	260	342
79	217	260	217	342	217	260	342
80	217	260	217	342	217	260	342
81	217	260	217	342	217	260	342
82	217	260	217	342	217	260	342
83	217	260	217	342	217	260	342
84	217	260	217	342	217	260	342
85	217	260	217	342	217	260	342
86	217	260	217	342	217	260	342
87	217	259	217	342	217	259	342
88	217	260	217	342	217	260	342
89	220	262	220	342	220	262	342
90	220	262	220	342	220	262	342
91	221	263	221	342	221	263	342
92	220	262	220	342	220	262	342
93	221	263	221	342	221	263	342
94	221	263	221	342	221	263	342
95	221	263	221	342	221	263	342
96	223	265	223	342	223	265	342
97	223	265	223	342	223	265	342
98	223	265	223	342	223	265	342
99	223	265	223	342	223	265	342
100	223	264	223	342	223	264	342
101	223	264	223	342	223	264	342
102	225	266	225	342	225	266	342
103	226	267	226	342	226	267	342
104	226	267	226	342	226	267	342
105	225	267	225	342	225	267	342
106	225	266	225	342	225	266	342
107	225	266	225	342	225	266	342
108	225	264	225	342	225	264	342
109	225	263	225	342	225	263	342
110	226	265	226	342	226	265	342
111	226	265	226	342	226	265	342
112	226	264	226	342	226	264	342
113	225	261	225	342	225	261	342
114	224	257	224	342	224	257	342
115	224	257	224	342	224	257	342
116	224	255	224	342	224	255	342
117	223	254	223	342	223	254	342
118	223	254	223	342	223	254	342
119	223	254	223	342	223	254	342
120	223	254	223	342	223	254	342
121	221	249	221	342	221	249	342
122	223	254	223	342	223	254	342
123	223	254	223	342	223	254	342
124	221	249	221	342	221	249	342
125	222	251	222	342	222	251	342
126	221	249	221	342	221	249	342
127	221	249	221	342	221	249	342
128	220	248	220	342	220	248	342
129	220	248	220	342	220	248	342
130	220	248	220	342	220	248	342
131	219	247	219	342	219	247	342
132	219	247	219	342	219	247	342
133	219	247	219	342	219	247	342
134	221	249	221	342	221	249	342
135	220	248	220	342	220	248	342
136	220	248	220	342	220	248	342
137	220	248	220	342	220	248	342
138	221	249	221	342	221	249	342
139	221	248	221	342	221	248	342
140	222	249	222	342	222	249	342
141	223	250	223	342	223	250	342
142	223	250	223	342	223	250	342
143	223	250	223	342	223	250	342
144	222	249	222	342	222	249	342
145	222	248	222	342	222	248	342
146	222	248	222	342	222	248	342
147	221	247	221	342	221	247	342
148	222	248	222	342	222	248	342
149	223	249	223	342	223	249	342
150	223	249	223	342	223	249	342
151	223	249	223	342	223	249	342
152	222	248	222	342	222	248	342
153	222	248	222	342	222	248	342
154	222	248	222	342	222	248	342
155	224	250	224	342	224	250	342
156	224	250	224	342	224	250	342
157	224	250	224	342	224	250	342
158	224	249	224	342	224	249	342
159	224	250	224	342	224	250	342
160	224	250	224	342	224	250	342
161	224	250	224	342	224	250	342
162	224	250	224	342	224	250	342
163	223	248	223	342	223	248	342
164	224	248	224	342	224	248	342
165	223	247	223	342	223	247	342
166	223	247	223	342	223	247	342
167	222	246	222	342	222	246	342
168	222	246	222	342	222	246	342
169	222	246	222	342	222	246	342
170	222	246	222	342	222	246	342
171	222	246	222	342	222	246	342
172	222	246	222	342	222	246	342
173	222	245	222	342	222	245	342
174	222	246	222	342	222	246	342
175	222	246	222	342	222	246	342
176	222	246	222	342	222	246	342
177	222	246	222	342	222	246	342
178	222	245	222	342	222	245	342
179	223	246	223	342	223	246	342
180	222	245	222	342	222	245	342
181	223	246	223	342	223	246	342
182	223	247	223	342	223	247	342
183	223	247	223	342	223	247	342
184	223	247	223	342	223	247	342
185	223	247	223	342	223	247	342
186	223	246	223	342	223	246	342
187	223	246	223	342	223	246	342
188	223	246	223	342	223	246	342
189	223	246	223	342	223	246	342
190	223	246	223	342	223	246	342
191	224	247	224	342	224	247	342
192	224	247	224	342	224	247	342
193	224	247	224	342	224	247	342
194	226	249	226	342	226	249	342
195	226	249	226	342	226	249	342
196	226	249	226	342	226	249	342
197	225	248	225	342	225	248	342
198	226	249	226	342	226	249	342
199	224	247	224	342	224	247	342
200	226	250	226	342	226	250	342
201	226	250	226	342	226	250	342
202	226	250	226	342	226	250	342
203	226	250	226	342	226	250	342
204	226	250	226	342	226	250	342
205	226	250	226	342	226	250	342
206	226	250	226	342	226	250	342
207	226	250	226	342	226	250	342
208	226	250	226	342	226	250	342
209	226	250	226	342	226	250	342
210	226	250	226	342	226	250	342
211	226	250	226	342	226	250	342
212	226	250	226	342	226	250	342
213	226	250	226	342	226	250	342
214	226	250	226	342	226	250	342
215	228	252	228	342	228	252	342
216	228	252	228	342	228	252	342
217	228	252	228	342	228	252	342
218	228	252	228	342	228	252	342
219	229	253	229	342	229	253	342
220	229	253	229	342	229	253	342
221	229	253	229	342	229	253	342
222	231	255	231	342	231	255	342
223	230	254	230	342	230	254	342
224	228	252	228	342	228	252	342
225	229	253	229	342	229	253	342
226	229	253	229	342	229	253	342
227	231	255	231	342	231	255	342
228	233	257	233	342	233	257	342
229	233	257	233	342	233	257	342
230	232	255	232	342	232	255	342
231	233	256	233	342	233	256	342
232	237	260	237	342	237	260	342
233	239	262	239	342	239	262	342
234	243	267	243	342	243	267	342
235	242	266	242	342	242	266	342
236	241	265	241	342	241	265	342
