iter	Passed	Remaining
0	208	208417
1	264	131749
2	327	108819
3	377	93891
4	409	81441
5	484	80214
6	574	81445
7	709	88007
8	811	89340
9	872	86394
10	940	84524
11	1009	83094
12	1083	82260
13	1223	86191
14	1251	82160
15	1300	79954
16	1348	77994
17	1439	78553
18	1533	79168
19	1593	78102
20	1630	76033
21	1688	75054
22	1739	73883
23	1788	72743
24	1829	71331
25	1908	71494
26	1967	70895
27	2027	70395
28	2132	71401
29	2252	72834
30	2343	73257
31	2432	73579
32	2551	74780
33	2646	75200
34	2706	74629
35	2751	73666
36	2806	73037
37	2910	73680
38	2972	73239
39	3059	73416
40	3222	75379
41	3293	75117
42	3351	74579
43	3392	73717
44	3432	72840
45	3506	72727
46	3586	72716
47	3672	72844
48	3746	72713
49	3787	71955
50	3838	71430
51	3876	70671
52	3945	70506
53	3975	69647
54	4104	70528
55	4189	70628
56	4285	70897
57	4374	71049
58	4465	71218
59	4569	71587
60	4663	71794
61	4723	71465
62	4775	71026
63	4901	71685
64	5021	72236
65	5064	71672
66	5094	70945
67	5201	71296
68	5321	71797
69	5441	72289
70	5551	72634
71	5606	72260
72	5696	72335
73	5800	72585
74	5882	72547
75	5964	72511
76	6029	72277
77	6084	71927
78	6184	72103
79	6263	72030
80	6322	71730
81	6373	71352
82	6431	71052
83	6486	70734
84	6537	70373
85	6622	70384
86	6716	70488
87	6826	70747
88	6889	70518
89	6971	70488
90	7008	70006
91	7074	69825
92	7115	69399
93	7164	69049
94	7247	69037
95	7343	69152
96	7391	68810
97	7459	68658
98	7494	68210
99	7575	68183
100	7641	68013
101	7660	67438
102	7706	67114
103	7730	66596
104	7744	66012
105	7826	66009
106	7870	65686
107	7953	65691
108	7991	65321
109	8099	65534
110	8128	65104
111	8204	65050
112	8282	65012
113	8313	64610
114	8398	64632
115	8467	64531
116	8583	64781
117	8613	64381
118	8701	64421
119	8752	64183
120	8811	64014
121	8877	63887
122	8936	63720
123	9011	63658
124	9106	63742
125	9197	63797
126	9286	63834
127	9360	63768
128	9470	63942
129	9534	63808
130	9617	63799
131	9644	63419
132	9679	63096
133	9743	62966
